freq,h
49.64581276259753,17.46182872323631
54.02444164039646,17.5523680433864
70.5545928765065,17.45662855464489
80.92379869050053,16.900283062460783
91.23033909459305,17.337834422902432
101.60377504838732,17.230246642528964
116.8299135347487,16.014634778619257
131.05045591551942,15.549813430081489
142.64400246638667,15.298612673694919
157.7593190030889,14.684645943254528
172.98163313877484,14.35380361664452
188.35467721335763,14.060857642944217
205.94782144579608,13.942121317637774
222.9643410932392,13.27154750491988
240.18229337204582,12.995050359044178
258.8086176657276,12.6810209001358
278.5428727340429,12.123790243524121
298.716994114651,11.504543993865626
319.35446029586046,11.418861906250088
341.9916989554475,11.123894768118081
364.37138318146816,10.574772181685294
388.6541480041242,10.305100522634849
413.5390499436585,9.805341022664752
439.28188844495827,9.571393858967802
465.77754839183604,9.116420698079153
494.4554069886,8.848884276727823
523.9213976270925,8.46062791499618
554.4649174570383,8.152023832087693
585.7595096032418,7.8244132785796365
619.6415415741518,7.200163020179131
654.483190487095,6.950701774624224
690.3981000166856,6.785500124474059
728.3855864178506,6.223240623618055
767.4369950856611,6.040099332558739
808.6019994215745,5.461235960982157
851.00983623035,5.362050177112776
895.5758474609662,4.966350269898948
941.9153966897519,4.566203227284889
990.5104905692122,4.4573833800233285
1040.91217638558,3.9556059194425854
1093.7459818457119,3.8455228080258537
1148.5226342318304,3.4431334019024504
1205.6499673829333,2.9466143632206814
1265.2296647297035,2.9438773192752246
1327.0591341210861,2.654881238387019
1391.8975507011896,2.2794808138526728
1459.578211396883,2.112469758230694
1529.9255856476545,1.7652087821569755
1603.1773061462798,1.5341966536050906
1680.0271285906756,1.5225053715285104
1759.4410079456084,1.1432573517766103
1842.7516650970667,1.3807935836532241
1929.1816718432326,1.2577052185713486
2019.3236988370606,1.2660876400797523
2113.3533188394795,1.3091932349143918
2211.4729285175995,1.4838182132142879
2313.8167805303783,1.5908156237782818
2420.2744450457903,1.9146484382093485
2531.6470450177617,2.0563586032878822
2647.7059826425284,2.388262167412353
2769.490074602666,2.7945121976860343
2894.998653475073,3.0446370037550317
3026.8114052242167,3.312295356101454
3163.919050611159,3.5611036271394356
3307.5940119289785,3.5661220116857395
3457.2309143377447,3.5937455685664714
3613.567425988318,3.238678592101886
3776.6229160814996,2.9903922657120408
3946.5972895173586,2.478509660913181
4124.410095299913,1.9344772105908135
4309.794193628849,1.3167728078547163
4503.1950446952715,0.784143424506637
4705.9816414556035,0.19628474178685262
4915.55460372336,-0.19553081183382826
5135.093869178229,-0.3773345473597558
5364.104587021527,-0.44302678655907224
5602.58754833046,-0.411612745523247
5851.651698409511,-0.12083306608609412
6110.848185814056,0.004077190624486082
6380.892353415237,0.3208712532758904
6662.057913921118,0.6082699212246974
6954.476561298124,0.9443198750378348
7258.969581886099,1.1172725341228738
7575.147242221897,1.4068174653163998
7904.197307119814,1.5039125419100463
8244.511810142414,1.5913397591501193
8597.926443843373,1.5501999074397768
8964.188647623278,1.3604295255939718
9343.26869504862,0.9986878166708113
9735.040259554971,0.34113668627770366
10140.008984953214,-0.64438052724506
10560.054374415125,-2.2944713618301176
10988.963293067447,-4.7169164232618
11428.869448086774,-8.058293955828521
11875.455281828654,-12.236943058307943
12328.8112929305,-16.804703096024866
12788.189892204364,-21.700898582411806
13254.105806210624,-27.072856933165326
13724.004222597208,-32.74908457301742
14197.186578597302,-38.86506351748348
