freq,h
124.99999999999994,11.809174978211868
130.09640282753213,12.120993900682286
135.400592229308,12.316154995536465
140.9210399180038,12.004633006205449
146.66656300837874,12.358883963558156
152.64633809974137,12.012283290510545
158.86991593257284,12.332563889445202
165.34723664272136,11.953066713221267
172.08864563752613,12.046178820562956
179.1049101192321,12.12411516663059
186.4072362820845,11.894387879597726
194.0072872105681,11.748088024085034
201.9172015073824,11.685667352336424
210.14961268089903,11.609907544065644
218.71766932307284,11.521233185955726
227.63505611002745,11.61536849185849
236.91601565886415,11.20911901482129
246.5753712755961,10.986465852163125
256.62855063054576,10.850128594937496
267.0916103990178,10.605159523256065
277.9812619065989,10.251912799110617
289.3148978200529,10.279013658525484
301.110619926431,10.100858855103063
313.3872680447752,9.815429607299608
326.16445011658305,9.423042052093058
339.46257352309976,9.11931645808999
353.30287767945555,9.002208951574884
367.7074679577018,8.681387009544842
382.69935099293644,8.352448724412387
398.3024714288971,8.210985845814935
414.54175016172337,7.768990605864195
431.4431241429581,7.4173563352252305
449.0335878053695,7.254003128663424
467.34123617775515,6.88856607016957
486.3953097575847,6.7119272795078455
506.2262412131597,6.333716794071438
526.865703989877,6.047157302324294
548.3466628982269,5.657190247909034
570.7034267643257,5.3593833267683975
593.9717032270772,5.056338153421604
618.1886557694819,4.84597312691845
643.3929630751771,4.630900282019007
669.6248808050216,4.313739916859368
696.9263058923857,4.1877480447840485
725.3408434598377,3.9602567251343235
754.9138764641041,3.729239835494929
785.6926381805428,3.690348106037219
817.726287642899,3.5509759948262998
851.0659881588242,3.506829240740703
885.7649890265761,3.4606806871397873
921.8787105834076,3.510658223332003
959.4648327214795,3.4619711903844594
998.583387012675,3.608169090206851
1039.2968525894585,3.6569326684080523
1081.670255934916,3.706647407025408
1125.7712747413482,3.8557906559263793
1171.6703460033186,4.105288542284191
1219.4407785177727,4.163217414099178
1269.1588699709407,4.421380631164942
1320.9040287990003,4.588134996592057
1374.7589010171578,4.762622002057247
1430.8095022197087,5.044152315791642
1489.1453549618882,5.434553798752091
1549.85963174296,5.83816751940452
1613.0493038189006,6.35480023889926
1678.8152960823522,6.889065664496363
1747.2626482572193,7.63860796491815
1818.500682665373,8.50807471131203
1892.643178833413,9.499611495666173
1969.8085552183416,10.615024804786833
2050.1200583424343,11.660228777010214
2133.7059596393665,12.635562171688518
2220.699760325993,13.344785122213173
2311.240404626996,13.882917062203626
2405.4725016929747,14.245121166514991
2503.5465565664067,14.423858766670246
2605.6192105643545,14.506092013148509
2711.8534914618904,14.477653141798454
2822.4190738758025,14.418489069829548
2937.4925502644537,14.30766755071052
3057.2577129766332,14.121879020699703
3181.905847799899,13.739266867419255
3311.636039477248,13.234566695698586
3446.655489680042,12.588910360930456
3587.179847945116,11.790599638537767
3733.433556104583,10.838107468734565
3885.6502067584624,9.742322877016
4044.072916362661,8.527320114946642
4208.954713528233,7.131381046307563
4380.558943152074,5.793938978099887
4559.159687024487,4.463900074006101
4745.04220158546,3.183433164975422
4938.503373528812,2.0815364982275746
5139.852193981847,1.174318250083005
5349.410252017899,0.3637985093773173
5567.512248290003,-0.26687517578174313
5794.506529606045,-0.6439269089990001
6030.755645299148,-0.9902141319909212
6276.636926282007,-1.2344626839126915
6532.543087709972,-1.3991003851789472
6798.8828562154185,-1.502030077470851
7076.081622715229,-1.6553126614911564
7364.582121834056,-1.8715534949722419
7664.845139028513,-2.0655371066420356
7977.3502465416495,-1.762498430330952
8302.596569363157,-1.5638184285603103
8641.103582418838,-1.4874865744159695
8993.41194026234,-1.5545790127878014
9360.084340594458,-1.8874779215486779
9741.70642298921,-2.3198854475479305
10138.887704262082,-2.983505618329259
10552.262551974354,-4.015948034111721
10982.491197628295,-5.268782637804598
11430.260791171802,-6.992334381442674
11896.286498496256,-9.055842302878826
12381.312643680822,-11.730362844898629
12886.113897807327,-15.007116001875428
13411.496516244837,-18.99038646706211
13958.299626379447,-23.704881813569422
14527.396567846805,-29.489491094443373
15119.696287407234,-36.41502410065838
15736.144790691778,-44.67915042385301
16377.726653137692,-54.51380503933652
17045.466592526474,-66.19112752216397
17740.43110563655,-80.03043072520238
18463.730171623778,-96.4063773583082
19216.519024851394,-115.75857383707793
20000.000000000004,-138.70048330995087
